"ts","button","x","y","window"
"2026-06-20 15:09:15.756","ESQ","820","838","C:\WINDOWS\system32\cmd.exe"
"2026-06-20 15:09:18.419","ESQ","1201","730","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:22.552","ESQ","630","530","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:29.914","ESQ","917","579","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:31.106","ESQ","841","482","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:31.230","ESQ","841","482","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:32.993","ESQ","1135","502","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:33.625","ESQ","1133","490","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:35.985","ESQ","1342","474","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:36.174","ESQ","1342","474","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:38.460","ESQ","899","748","Drone Avionics Console - Google Chrome"
"2026-06-20 15:09:42.081","ESQ","1205","742","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:02.868","ESQ","1283","734","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:13.903","ESQ","1326","731","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:18.306","ESQ","970","741","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:20.500","ESQ","970","739","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:43.039","ESQ","75","494","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:43.316","ESQ","75","494","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:47.598","ESQ","931","560","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:48.610","ESQ","1255","743","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:49.792","ESQ","1255","743","Drone Avionics Console - Google Chrome"
"2026-06-20 15:10:49.885","ESQ","1255","743","Drone Avionics Console - Google Chrome"
"2026-06-20 15:11:11.288","ESQ","1255","773","Drone Avionics Console - Google Chrome"
"2026-06-20 15:11:17.214","ESQ","939","824",""
"2026-06-20 15:11:28.708","ESQ","896","843",""
"2026-06-20 15:11:30.445","ESQ","1050","738",""
"2026-06-20 15:11:32.237","ESQ","1271","142","C:\WINDOWS\system32\cmd.exe"
